name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Aeoliella,413,438,553
Adhaeretor,214,199,322
Bythopirellula,193,207,259
Thermogutta,178,181,213
Tautonia,3481,3113,3716
Aquisphaera,3408,3307,3968
Singulisphaera,3128,2834,3392
Paludisphaera,2187,2038,2531
Isosphaera,562,467,568
Planctomyces,3466,3221,4217
Gimesia,1478,1377,1516
Planctellipticum,1387,1182,1390
Caulifigura,1127,1010,1405
Maioricimonas,1058,969,1207
Alienimonas,995,979,1188
Schlesneria,587,413,448
Symmachiella,483,460,549
Crateriforma,370,388,398
Stratiformator,325,339,431
Rubinisphaera,319,270,308
Planctopirus,295,205,256
Fuerstiella,294,237,291
Calycomorphotria,249,188,240
Polystyrenella,132,119,114
Thalassoglobus,108,105,91
Engelhardtia,1588,1349,1730
Rohdeia,1342,1086,1560
Saltatorellus,1284,940,1342
Kolteria,957,875,1014
Phycisphaera,965,974,1219
Mucisphaera,575,523,668
Poriferisphaera,62,42,46
Humisphaera,1484,1369,2172
Anaerohalosphaera,115,111,125
Sedimentisphaera,59,45,66
Limihaloglobus,37,46,38
Candidatus Kuenenia,63,50,51
Candidatus Uabimicrobium,39,40,46
Opitutus,1748,1698,2387
Oleiharenicola,1260,1248,1713
Nibricoccus,776,734,992
Termitidicoccus,668,582,824
Lacunisphaera,665,681,831
Actomonas,528,512,646
Horticoccus,400,426,614
Synoicihabitans,383,361,461
Ereboglobus,297,323,394
Ruficoccus,246,217,268
Rubellicoccus,58,53,53
Coraliomargarita,177,138,163
Candidatus Pelagisphaera,34,45,37
Luteolibacter,2662,2433,3517
Verrucomicrobium,1237,1138,1525
Roseimicrobium,639,594,1338
Haloferula,483,495,643
Roseibacillus,192,127,164
Sulfuriroseicoccus,139,123,152
Akkermansia,683,598,660
Fontisphaera,451,501,555
Methylacidimicrobium,609,523,649
Methylacidiphilum (ex Ratnadevi et al. 2023),74,71,66
Candidatus Xiphinematobacter,32,56,53
Kiritimatiella,398,383,416
Tichowtungia,151,150,158
Simkania,79,60,62
Candidatus Neptunochlamydia,5,8,7
Candidatus Protochlamydia,27,18,34
Neochlamydia,10,6,9
Parachlamydia,6,9,18
Waddlia,15,19,21
Candidatus Rhabdochlamydia,2,6,5
Criblamydia,2,NA,1
Estrella,NA,NA,1
Chlamydia,58,59,43
Chlamydiifrater,3,9,1
Candidatus Velamenicoccus,169,138,141
Lentisphaera,25,28,39
Luteitalea,25969,22980,34438
Granulicella,2590,2433,3110
Terriglobus,2202,2197,2767
Edaphobacter,1792,1743,1998
Chloracidobacterium,1641,1514,1517
Tunturiibacter,1442,1363,1517
Occallatibacter,1028,887,1149
Telmatobacter,941,949,1015
Alloacidobacterium,855,803,798
Acidobacterium,720,656,801
Acidisarcina,534,547,584
Candidatus Korobacter,1183,1137,1332
Paludibaculum,2029,1845,2546
Geothrix,3647,3033,3677
Mesoterricola,1540,1317,1592
Sulfidibacter,901,775,969
Thermotomaculum,29,48,43
Hymenobacter,5464,5281,6555
Pontibacter,827,765,871
Rufibacter,207,237,194
Adhaeribacter,53,59,65
Nibribacter,32,33,37
Dyadobacter,555,569,673
Tellurirhabdus,326,306,354
Fibrella,196,175,204
Larkinella,147,136,159
Runella,141,151,192
Fibrisoma,1,1,1
Spirosoma,1188,1101,1279
Cytophaga,8,17,22
Chryseolinea,318,367,560
Fulvivirga,32,38,80
Algoriphagus,106,83,135
Echinicola,95,100,132
Cyclobacterium,60,34,64
Belliella,12,8,16
Aquiflexum,12,16,20
Mongoliitalea,12,15,18
Imperialibacter,65,100,93
Flammeovirga,36,44,49
Chondrinema,11,11,18
Catalinimonas,37,41,39
Tunicatimonas,31,34,39
Porifericola,14,20,12
Roseivirga,85,43,22
Ekhidna,33,22,45
Reichenbachiella,31,27,45
Emticicia,34,26,34
Marinilongibacter,13,23,20
Leadbetterella,8,5,21
Arcticibacterium,8,7,14
Fulvitalea,35,37,59
Persicobacter,24,28,41
Aureibacter,2,9,16
Marivirga,55,58,54
Candidatus Cardinium,44,32,42
Candidatus Amoebophilus,7,2,2
Aquirufa,35,32,34
Bernardetia,27,23,36
Rhodocytophaga,25,30,50
Mangrovivirga,23,35,33
Alistipes,2202,2257,2680
Acetobacteroides,44,53,86
Prevotella,466,459,517
Segatella,113,104,133
Hoylesella,52,46,34
Paraprevotella,45,49,50
Xylanibacter,22,16,21
Pseudoprevotella,18,22,31
Bacteroides,503,583,632
Phocaeicola,64,67,73
Tannerella,260,195,235
Parabacteroides,236,250,251
Sodaliphilus,111,104,139
Duncaniella,87,63,77
Paramuribaculum,56,53,56
Muribaculum,55,45,87
Porphyromonas,209,180,208
Petrimonas,83,87,63
Proteiniphilum,39,23,39
Limibacterium,37,40,41
Dysgonomonas,10,14,27
Barnesiella,100,97,145
Coprobacter,8,18,8
Butyricimonas,44,39,47
Odoribacter,16,11,19
Paludibacter,11,9,13
Salinivirga,9,9,10
Tenuifilum,6,18,11
Candidatus Azobacteroides,1,1,1
Draconibacterium,90,87,136
Mangrovibacterium,46,38,57
Maribellus,20,23,31
Aquipluma,11,18,27
Halosquirtibacter,10,11,13
Labilibaculum,24,25,29
Marinifilum,17,21,26
Alkalitalea,13,14,9
Xiashengella,12,14,8
Flavobacterium,893,945,1519
Capnocytophaga,175,162,192
Flagellimonas,157,134,178
Polaribacter,107,129,133
Maribacter,103,86,136
Robiginitalea,100,93,100
Tenacibaculum,68,77,97
Nonlabens,62,45,62
Christiangramia,62,65,113
Winogradskyella,52,47,85
Allomuricauda,47,41,48
Aequorivita,47,49,92
Aquimarina,46,46,74
Salinimicrobium,41,24,35
Myroides,37,29,28
Formosa,35,32,29
Changchengzhania,32,38,18
Zobellia,32,36,58
Mariniflexile,30,23,32
Algibacter,30,29,35
Dokdonia,29,27,23
Leeuwenhoekiella,28,29,35
Antarcticibacterium,26,39,57
Cellulophaga,24,33,52
Kordia,24,22,20
Salegentibacter,21,9,24
Sinomicrobium,19,18,22
Lacinutrix,17,14,18
Psychroserpens,16,6,14
Wenyingzhuangia,15,6,8
Lutimonas,15,6,19
Arenibacter,14,20,18
Seonamhaeicola,14,14,10
Rasiella,13,10,11
Zunongwangia,11,22,21
Constantimarinum,10,14,15
Lutibacter,10,8,11
Pukyongia,10,7,10
Imtechella,10,4,5
Aggregatimonas,10,8,22
Gilvibacter,9,9,19
Galbibacter,9,4,12
Flavivirga,9,9,11
Mangrovimonas,9,9,16
Euzebyella,9,8,9
Aestuariibaculum,9,9,12
Olleya,9,5,15
Muriicola,8,9,11
Patiriisocius,8,10,7
Croceibacter,8,4,3
Psychroflexus,7,4,9
Pontimicrobium,7,12,12
Zhouia,7,8,5
Thalassobellus,6,7,10
Mesoflavibacter,6,2,9
Allotamlana,6,8,6
Aegicerativicinus,6,4,5
Vaginella,5,2,5
Candidatus Arcticimaribacter,5,11,14
Marixanthomonas,5,5,5
Tamlana,5,7,3
Pseudotamlana,4,4,2
Gillisia,4,3,7
Aureibaculum,4,2,8
Pseudalgibacter,3,5,3
Costertonia,3,7,7
Hwangdonia,2,5,12
Flaviramulus,2,4,7
Abyssalbus,2,4,10
Urechidicola,2,3,1
Sediminicola,1,5,6
Oceanihabitans,1,4,6
Siansivirga,NA,2,2
Amniculibacterium,NA,5,2
Paenimyroides,NA,3,4
Bizionia,NA,3,4
Chryseobacterium,513,536,708
Kaistella,68,59,78
Epilithonimonas,17,25,25
Apibacter,60,91,86
Elizabethkingia,38,49,63
Cloacibacterium,38,31,19
Cruoricaptor,16,31,43
Ornithobacterium,15,20,25
Marnyiella,13,18,27
Empedobacter,7,12,21
Riemerella,6,10,20
Bergeyella,4,7,12
Faecalibacter,4,8,10
Weeksella,2,1,8
Sanyastnella,55,57,41
Blattabacterium,33,30,53
Owenweeksia,20,12,28
Croceimicrobium,8,14,7
Paracrocinitomix,8,8,8
Fluviicola,7,5,10
Candidatus Walczuchella,9,4,2
Candidatus Karelsulcia,3,10,12
Candidatus Shikimatogenerans,1,1,NA
Parvicella,7,7,10
Ichthyobacterium,3,4,3
Chitinophaga,1090,1123,1433
Flavihumibacter,127,98,225
Paraflavitalea,124,165,314
Flavisolibacter,107,137,233
Niastella,97,250,310
Niabella,85,102,160
Arachidicoccus,75,60,119
Pseudobacter,71,84,143
Lacibacter,67,71,160
Phnomibacter,65,72,117
Pseudocnuella,60,107,117
Panacibacter,43,60,171
Sediminibacterium,30,35,77
Thermoflavifilum,24,45,58
Ferruginibacter,19,27,84
Filimonas,19,33,53
Mycovorax,12,12,26
Rhizosphaericola,5,15,17
Mucilaginibacter,868,905,1131
Sphingobacterium,388,398,424
Pedobacter,270,287,448
Olivibacter,60,61,68
Solitalea,49,42,89
Anseongella,37,39,37
Arcticibacter,33,31,52
Pseudopedobacter,3,5,9
Aurantibacillus,7,5,15
Neolewinella,220,209,257
Lewinella,36,25,36
Haliscomenobacter,87,71,75
Saprospira,31,17,30
Aureispira,11,21,15
Candidatus Sulfidibacterium,15,32,16
Rubrivirga,3431,3554,4258
Rhodothermus,1763,1546,1700
Rhodocaloribacter,1362,1276,1322
Salinibacter,934,859,1021
Chlorobaculum,852,741,940
Prosthecochloris,404,381,359
Pelodictyon,179,183,191
Chlorobium,169,150,158
Chloroherpeton,66,51,45
Melioribacter,87,49,57
Ignavibacterium,38,46,29
Cyclonatronum,79,73,93
Gracilimonas,27,24,36
Gemmatirosa,4906,4866,6899
Gemmatimonas,2527,2574,3234
Pseudogemmatithrix,1425,1489,1948
Candidatus Palauibacter,4536,4287,4636
Gaopeijia,1638,1443,1704
Fidelibacter,57,64,63
Fibrobacter,47,47,61
Candidatus Cloacimonas,4,8,8
Geobacter,3278,2888,3018
Geomonas,3054,2656,2954
Geotalea,1182,953,986
Citrifermentans,848,831,898
Trichlorobacter,663,562,624
Desulfuromonas,2611,2372,2712
Pelobacter,353,288,296
Geoalkalibacter,672,618,676
Syntrophotalea,466,388,437
Pseudodesulfovibrio,2961,2775,3115
Desulfovibrio,1784,1832,1899
Solidesulfovibrio,1213,1230,1345
Nitratidesulfovibrio,1050,948,1122
Desulfolutivibrio,753,688,754
Desulfocurvibacter,494,437,425
Oceanidesulfovibrio,477,459,523
Maridesulfovibrio,321,238,259
Megalodesulfovibrio,253,244,298
Salidesulfovibrio,237,240,248
Mailhella,182,218,197
Oleidesulfovibrio,106,70,123
Desulfobaculum,44,43,65
Lawsonia,29,15,14
Taurinivorans,17,22,20
Desulfomicrobium,516,487,575
Thermodesulfomicrobium,287,254,288
Desulfohalobium,95,89,114
Desulfosarcina,1426,1308,1291
Desulfococcus,320,258,274
Desulfonema,94,106,82
Desulfobacter,213,148,148
Desulforapulum,53,65,71
Desulfobacula,18,20,25
Desulfosudis,276,262,269
Desulfatibacillum,202,194,220
Desulfoluna,194,166,149
Desulfobulbus,568,474,551
Desulfurivibrio,183,190,199
Desulfolithobacter,126,121,170
Desulfomarina,51,46,51
Candidatus Electrothrix,38,44,37
Desulfofustis,235,234,268
Desulfosediminicola,102,123,97
Desulfopila,63,55,70
Desulfotalea,36,33,34
Desulfocapsa,14,20,18
Desulfoferula,732,667,687
Desulfarculus,664,600,703
Syntrophobacter,491,436,434
Desulfoglaeba,426,386,352
Thermosulfurimonas,180,167,173
Thermosulfuriphilus,88,78,54
Thermodesulfobacterium,38,21,23
Caldimicrobium,16,13,21
Thermodesulfatator,21,34,27
Syntrophus,324,280,273
Desulfomonile,233,181,170
Desulfobacca,142,147,120
Candidatus Desulfofervidus,27,24,26
Nitrospira,7250,5425,4500
Leptospirillum,288,268,229
Dissulfurispira,183,46,33
Thermodesulfovibrio,131,124,78
Treponema,643,598,646
Brucepastera,14,13,25
Spirochaeta,422,372,410
Marispirochaeta,75,68,73
Salinispira,56,58,38
Sediminispirochaeta,28,47,35
Candidatus Haliotispira,25,23,31
Entomospira,19,11,28
Oceanispirochaeta,16,15,11
Thiospirochaeta,5,6,6
Breznakiella,76,66,59
Leadbettera,55,38,49
Gracilinema,52,35,32
Sphaerochaeta,95,79,110
Parasphaerochaeta,39,28,40
Borrelia,52,53,44
Borreliella,32,17,19
Leptospira,914,1001,1512
Turneriella,137,104,138
Thermospira,25,25,10
Brachyspira,15,11,16
Sphaerobacter,1763,1842,1867
Thermomicrobium,473,504,468
Sulfurimonas,611,561,681
Sulfuricurvum,26,10,25
Campylobacter,403,362,399
Hydrogenimonas,324,324,355
Helicobacter,206,219,200
Wolinella,15,23,25
Arcobacter,47,41,40
Aliarcobacter,46,27,37
Halarcobacter,22,22,35
Malaciobacter,12,7,18
Poseidonibacter,7,4,5
Candidatus Marinarcus,3,2,4
Nitratifractor,75,81,112
Sulfurovum,51,64,64
Sulfurospirillum,80,106,81
Caminibacter,18,10,8
Nautilia,7,13,11
Nitratiruptor,19,33,28
Nitrosophilus,17,14,24
Hippea,13,20,26
Bdellovibrio,516,456,628
Micavibrio,137,123,181
Pseudobdellovibrio,24,25,22
Peredibacter,32,35,38
Bacteriovorax,14,11,14
Halobacteriovorax,9,4,9
Silvanigrella,12,6,6
Fluviispira,10,7,8
Pigmentibacter,5,3,2
Spirobacillus,3,10,3
Nitrospina,460,474,483
Hydrogenobacter,47,37,30
Aquifex,31,35,15
Thermocrinis,21,31,28
Hydrogenobaculum,6,2,9
Sulfurihydrogenibium,31,24,15
Persephonella,16,17,19
Thermovibrio,68,57,48
Desulfurobacterium,33,22,9
Desulfurispirillum,168,175,164
Geovibrio,45,36,39
Denitrovibrio,16,21,12
Flexistipes,45,38,31
Calditerrivibrio,16,9,12
Deferribacter,11,5,17
Mucispirillum,8,14,7
Caldithrix,122,112,108
Atribacter,22,20,22
Atrimonas,9,4,3
Thermatribacter,3,5,7
Dictyoglomus,68,48,62
Caldisericum,57,57,39
Endomicrobium,13,14,10
Candidatus Endomicrobiellum,8,6,7
Elusimicrobium,17,20,19
Coprothermobacter,45,80,36
Thermosulfidibacter,30,34,20
Thermodesulfobium,10,6,18
Streptomyces,369681,421360,507892
Kitasatospora,19813,22987,27558
Actinacidiphila,3554,4115,5866
Embleya,2918,3350,3908
Streptacidiphilus,1578,1888,2289
Yinghuangia,1345,1585,1919
Peterkaempfera,1293,1529,1917
Streptantibioticus,655,800,1028
Carbonactinospora,5,4,9
Microbacterium,37599,40753,56926
Agromyces,11000,11930,18362
Curtobacterium,9902,11035,13630
Agrococcus,4897,5343,7055
Leifsonia,4329,4623,5915
Leucobacter,4252,4286,5248
Rathayibacter,4203,4672,5718
Clavibacter,3069,3309,4128
Cryobacterium,2284,2565,3198
Microcella,2045,2203,2825
Herbiconiux,1823,1820,2399
Salinibacterium,1364,1487,1801
Protaetiibacter,1259,1357,1887
Frondihabitans,1219,1324,1628
Frigoribacterium,1207,1325,1624
Cnuibacter,1024,1099,1369
Microterricola,864,885,1123
Plantibacter,774,845,1109
Gulosibacter,570,558,803
Mycetocola,567,582,734
Homoserinibacter,552,584,764
Subtercola,519,494,687
Naasia,508,520,635
Gryllotalpicola,503,544,748
Humibacter,420,480,553
Diaminobutyricibacter,367,469,577
Marisediminicola,342,348,421
Paramicrobacterium,322,302,410
Diaminobutyricimonas,298,323,381
Glaciibacter,290,296,375
Glaciihabitans,229,261,324
Ruicaihuangia,229,235,328
Agreia,201,188,295
Antiquaquibacter,188,223,257
Rhodoluna,76,84,82
Aquiluna,64,74,89
Lysinibacter,69,59,63
Aurantimicrobium,53,37,60
Pontimonas,53,43,51
Amnibacterium,1,1,2
Arthrobacter,13399,15151,17869
Kocuria,3309,3483,4416
Pseudarthrobacter,2687,2835,3431
Sinomonas,2206,2470,2994
Micrococcus,2116,2258,2741
Glutamicibacter,1249,1397,1684
Citricoccus,1208,1387,1622
Paenarthrobacter,1150,1201,1394
Rothia,759,907,986
Nesterenkonia,263,279,281
Zhihengliuella,173,190,240
Paeniglutamicibacter,116,133,101
Auritidibacter,113,104,117
Psychromicrobium,109,92,107
Neomicrococcus,64,64,93
Renibacterium,57,60,60
Pseudoglutamicibacter,47,59,89
Cellulomonas,15905,17389,25757
Paraoerskovia,942,1028,1287
Actinotalea,646,787,968
Oerskovia,611,729,844
Pseudactinotalea,521,557,731
Janibacter,4196,4804,6361
Phycicoccus,2190,2433,3282
Terrabacter,1936,2373,3941
Arsenicicoccus,1896,2121,2748
Oryzobacter,1456,1634,2421
Pedococcus,1341,1669,2396
Knoellia,1102,1259,1697
Humibacillus,974,1132,1796
Intrasporangium,959,1067,1471
Nostocoides,572,676,1053
Cellulosimicrobium,3769,4060,5746
Isoptericola,2858,3324,4202
Xylanimonas,1766,1927,2402
Promicromonospora,1405,1597,2277
Brachybacterium,5275,5532,6991
Dermabacter,349,310,391
Helcobacillus,254,239,266
Devriesea,76,100,75
Ornithinimicrobium,3656,4283,5319
Serinicoccus,2088,2407,2880
Brevibacterium,5538,6099,7311
Saxibacter,333,345,424
Georgenia,4771,5333,6483
Barrientosiimonas,811,934,1206
Dermacoccus,754,899,1236
Luteipulveratus,529,738,884
Allobranchiibius,475,563,692
Yimella,268,290,435
Ruania,1681,1890,2289
Occultella,882,1012,1156
Pengzhenrongella,1729,1920,2456
Luteimicrobium,715,729,930
Beutenbergia,1018,1112,1375
Miniimonas,645,703,904
Sanguibacter,1503,1686,2114
Demequina,1078,1088,1439
Kytococcus,790,781,1084
Gephyromycinifex,273,286,352
Austwickia,239,232,301
Dermatophilus,70,78,95
Jonesia,33,50,48
Tropheryma,6,10,11
Mycolicibacterium,50427,50109,69904
Mycobacterium,47974,45148,62516
Mycolicibacter,2482,2441,3199
Mycobacteroides,2191,2128,2763
Mycolicibacillus,872,966,1151
Nocardia,28760,31466,36719
Rhodococcus,20540,22499,29179
Prescottella,1722,1996,2691
Rhodococcoides,1009,966,1256
Williamsia,495,533,699
Corynebacterium,15173,16308,19420
Gordonia,12263,13629,16799
Skermania,522,593,674
Tsukamurella,2824,3036,3889
Dietzia,2787,3298,3821
Tomitella,1025,1077,1391
Segniliparus,263,299,334
Hoyosella,242,250,284
Lawsonella,97,94,73
Micromonospora,67182,74529,134077
Dactylosporangium,17885,20454,27188
Actinoplanes,17130,20381,30226
Catellatospora,10550,5140,7556
Phytohabitans,5599,7188,9587
Plantactinospora,4405,5164,8310
Solwaraspora,2771,3232,4895
Actinocatenispora,2642,3113,4112
Polymorphospora,2561,2855,4761
Longispora,1563,1804,2337
Krasilnikovia,1382,1545,2509
Couchioplanes,1368,1576,2516
Natronosporangium,1048,1161,1492
Salinispora,660,712,995
Paractinoplanes,49,53,66
Nocardioides,51827,73218,157359
Aeromicrobium,6890,8495,10945
Pimelobacter,2797,3143,4872
Mumia,1833,2136,2943
Friedmanniella,1215,1522,1821
Solicola,1003,1260,1518
Micropruina,479,561,731
Microlunatus,4515,5203,6470
Tessaracoccus,3589,4066,4847
Propioniciclava,1852,2034,2493
Raineyella,1530,1676,2018
Acidipropionibacterium,1274,1360,1611
Propionibacterium,1271,1480,1678
Auraticoccus,761,973,1043
Cutibacterium,754,845,978
Arachnia,745,750,953
Naumannella,346,433,560
Brooklawnia,303,309,346
Propionimicrobium,290,238,305
Luteococcus,281,384,435
Vaginimicrobium,39,30,28
Kribbella,18201,26657,35475
Actinopolymorpha,1353,1651,1962
Amycolatopsis,40387,48860,60042
Pseudonocardia,19348,22420,27077
Saccharopolyspora,8056,9745,11390
Kutzneria,5175,6764,7667
Saccharothrix,5066,6367,7671
Lentzea,4808,6616,10274
Saccharomonospora,3376,3939,4689
Actinoalloteichus,2488,2933,3398
Actinokineospora,2130,2886,3296
Actinomycetospora,1602,1880,2375
Allokutzneria,1569,1543,1705
Actinosynnema,1442,1819,2228
Umezawaea,1362,1594,2034
Crossiella,1312,1532,1803
Kibdelosporangium,1230,1731,1984
Alloactinosynnema,949,1371,1354
Prauserella,754,799,985
Allosaccharopolyspora,608,663,801
Nonomuraea,17820,21287,23058
Streptosporangium,7526,8444,9845
Microbispora,4397,5047,5889
Sphaerisporangium,1890,2243,2699
Thermobispora,1112,1369,1399
Spongiactinospora,166,213,245
Planobispora,1,NA,3
Actinomadura,12915,15797,18141
Actinoallomurus,2329,3053,3180
Thermomonospora,2239,2804,3135
Spirillospora,1310,1651,1848
Nocardiopsis,4206,5250,5960
Streptomonospora,1617,1896,2142
Thermobifida,1574,1879,2158
Spiractinospora,619,739,812
Actinomyces,6489,7081,8093
Schaalia,1226,1244,1534
Trueperella,819,900,954
Flaviflexus,397,486,541
Arcanobacterium,219,239,227
Buchananella,189,268,282
Nanchangia,188,256,227
Pauljensenia,188,213,225
Scrofimicrobium,180,186,206
Mobiluncus,129,117,124
Gleimia,85,85,110
Actinotignum,82,73,124
Actinobaculum,80,110,117
Winkia,48,55,56
Changpingibacter,41,39,59
Varibaculum,25,30,23
Boudabousia,9,13,23
Frankia,3920,4870,5308
Pseudofrankia,2851,3209,3779
Parafrankia,1894,2331,2654
Protofrankia,952,1249,1210
Blastococcus,4726,5423,14108
Geodermatophilus,2225,2688,5494
Modestobacter,2181,2588,4582
Jiangella,4424,5573,5986
Bifidobacterium,4063,4298,4928
Parascardovia,57,47,53
Gardnerella,36,28,31
Bombiscardovia,16,16,15
Alloscardovia,14,36,19
Scardovia,6,11,12
Nakamurella,3079,3605,4604
Jatrophihabitans,2283,2666,3176
Kineococcus,2123,2551,3211
Catenulispora,1451,1707,1996
Stackebrandtia,955,1084,1407
Natronoglycomyces,174,192,251
Epidermidibacterium,732,715,900
Actinopolyspora,471,626,638
Acidothermus,445,497,525
Candidatus Planktophila,86,78,98
Candidatus Nanopelagicus,18,11,12
Conexibacter,18424,26977,40675
Baekduia,10921,16756,26638
Svornostia,4362,6579,9823
Capillimicrobium,8358,12197,17979
Paraconexibacter,8060,11767,17651
Miltoncostaea,15815,14627,14107
Thermoleophilum,4433,6050,7406
Iamia,12012,17496,16611
Actinomarinicola,5956,8282,7677
Dermatobacter,5742,7533,8105
Aquihabitans,5497,7945,7635
Candidatus Poriferisodalis,9936,12042,11866
Candidatus Poriferisocius,6994,9481,8146
Ilumatobacter,6503,8244,10128
Acidimicrobium,1059,1217,1084
Candidatus Spongiisocius,991,1059,940
Rubrobacter,8523,9377,9782
Eggerthella,830,807,974
Adlercreutzia,430,492,508
Gordonibacter,423,474,579
Berryella,416,432,471
Arabiibacter,358,382,422
Xiamenia,234,217,273
Raoultibacter,212,236,248
Slackia,151,124,162
Denitrobacterium,121,147,136
Cryptobacterium,19,7,15
Phoenicibacter,3,5,2
Olsenella,675,714,865
Thermophilibacter,557,581,680
Parolsenella,431,414,485
Parafannyhessea,276,292,314
Atopobium,75,83,98
Lancefieldella,45,32,41
Fannyhessea,5,11,10
Collinsella,564,602,668
Coriobacterium,177,187,176
Enorma,171,196,196
Leptogranulimonas,83,72,97
Egibacter,2139,2384,2295
Euzebya,1842,2312,2256
Egicoccus,1673,2145,2082
Paenibacillus,14224,14383,15724
Brevibacillus,2304,2557,2458
Cohnella,1061,1051,1304
Thermobacillus,438,411,472
Saccharibacillus,298,293,401
Aneurinibacillus,180,190,207
Candidatus Pristimantibacillus,70,70,77
Bacillus,3618,3689,3821
Neobacillus,1726,1710,1080
Peribacillus,672,685,666
Cytobacillus,414,308,424
Metabacillus,394,759,319
Lysinibacillus,328,402,353
Gottfriedia,288,148,133
Priestia,246,285,969
Mesobacillus,204,169,273
Rossellomorea,187,222,205
Niallia,147,110,142
Halobacillus,138,123,131
Salicibibacter,129,115,114
Fictibacillus,119,117,1649
Virgibacillus,117,119,130
Heyndrickxia,113,110,118
Oceanobacillus,102,99,95
Pseudalkalibacillus,100,61,85
Psychrobacillus,70,74,79
Terribacillus,68,52,86
Salisediminibacterium,66,88,73
Sutcliffiella,64,76,98
Shouchella,61,39,51
Siminovitchia,52,55,40
Salimicrobium,44,50,34
Aeribacillus,41,30,44
Lentibacillus,41,55,50
Alkalihalobacillus,39,38,42
Pontibacillus,39,27,29
Domibacillus,38,25,41
Caldalkalibacillus,35,30,35
Gracilibacillus,28,24,40
Allobacillus,26,21,24
Halalkalibacterium (ex Joshi et al. 2022),25,13,15
Robertmurraya,25,20,20
Alkalihalophilus,25,19,50
Ornithinibacillus,24,7,23
Pseudobacillus,22,21,24
Tepidibacillus,21,18,8
Sediminibacillus,21,26,28
Paenalkalicoccus,19,13,13
Alkalicoccus,18,13,23
Fervidibacillus,17,20,20
Aciduricibacillus,14,10,6
Salipaludibacillus,14,11,17
Radiobacillus,13,12,27
Ectobacillus,12,20,20
Evansella,11,19,36
Halalkalibacter,11,14,15
Lederbergia,10,10,14
Alkalibacillus,7,6,6
Mangrovibacillus,7,18,4
Paraliobacillus,6,11,7
Caldibacillus,5,9,NA
Anaerobacillus,5,6,11
Caldifermentibacillus,5,13,13
Pradoshia,4,10,15
Amphibacillus,2,3,4
Alicyclobacillus,1630,1597,1720
Tumebacillus,487,478,512
Kyrpidia,271,239,236
Effusibacillus,53,37,62
Fodinisporobacter,32,43,24
Hydrogenibacillus,713,748,792
Exiguobacterium,655,692,672
Planococcus,553,514,507
Sporosarcina,388,381,356
Ureibacillus,86,64,65
Paenisporosarcina,63,44,34
Solibacillus,62,76,102
Rummeliibacillus,40,25,31
Chryseomicrobium,25,14,29
Kurthia,12,16,12
Viridibacillus,9,8,6
Jeotgalibacillus,8,17,24
Metasolibacillus,3,12,12
Geobacillus,736,742,813
Parageobacillus,90,108,122
Anoxybacillus,50,46,70
Saccharococcus,42,30,63
Thermaerobacillus,14,8,28
Anoxybacteroides,12,23,18
Staphylococcus,319,323,289
Macrococcus,78,59,40
Salinicoccus,72,75,94
Jeotgalicoccus,43,25,25
Mammaliicoccus,42,45,60
Macrococcoides,25,19,18
Nosocomiicoccus,7,8,11
Staphylospora,136,162,169
Kroppenstedtia,121,100,120
Laceyella,116,83,68
Novibacillus,84,72,86
Polycladomyces,74,88,232
Thermoactinomyces,19,26,34
Listeria,106,99,104
Brochothrix,11,11,11
Sporolactobacillus,49,63,72
Pullulanibacillus,17,13,9
Gemella,16,11,7
Abyssicoccus,4,2,6
Limosilactobacillus,263,234,256
Levilactobacillus,216,247,208
Lacticaseibacillus,195,142,222
Lactobacillus,161,164,192
Lactiplantibacillus,117,99,117
Ligilactobacillus,88,88,86
Weissella,66,82,81
Schleiferilactobacillus,57,74,71
Pediococcus,52,42,49
Fructilactobacillus,51,43,58
Leuconostoc,47,53,40
Companilactobacillus,40,26,36
Latilactobacillus,33,26,15
Paucilactobacillus,32,27,18
Loigolactobacillus,27,31,32
Lentilactobacillus,26,40,44
Apilactobacillus,23,14,18
Furfurilactobacillus,23,14,12
Liquorilactobacillus,23,21,10
Oenococcus,22,26,23
Secundilactobacillus,13,12,32
Xylocopilactobacillus,8,8,8
Nicoliella,7,5,3
Fructobacillus,7,12,5
Bombilactobacillus,5,6,9
Amylolactobacillus,5,9,9
Periweissella,4,6,9
Agrilactobacillus,3,3,8
Dellaglioa,1,2,2
Acetilactobacillus,1,NA,2
Lapidilactobacillus,NA,2,2
Streptococcus,511,469,552
Lactococcus,85,81,111
Floricoccus,4,1,NA
Enterococcus,216,213,246
Vagococcus,52,64,56
Tetragenococcus,14,13,21
Melissococcus,9,9,7
Trichococcus,48,55,70
Jeotgalibaca,28,20,24
Carnobacterium,21,28,30
Dolosigranulum,16,12,37
Alkalibacterium,12,21,11
Granulicatella,6,4,5
Desemzia,4,3,4
Marinilactibacillus,4,4,2
Aerococcus,54,46,59
Abiotrophia,16,16,14
Suicoccus,11,9,9
Ignavigranum,6,8,8
Fundicoccus,5,6,5
Ruoffia,5,3,2
Globicatella,3,1,7
Facklamia,2,2,6
Faecalibacterium,883,849,928
Flavonifractor,296,261,295
Vescimonas,236,180,166
Subdoligranulum,220,214,247
Ruminococcus,202,209,226
Ruthenibacterium,164,128,156
Ethanoligenens,150,141,157
Oscillibacter,149,168,127
