name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Palleronia,503,537,625
Tateyamaria,482,483,578
Roseobacter,415,483,517
Marinovum,405,421,584
Dinoroseobacter,379,373,403
Ponticoccus,353,382,436
Ketogulonicigenium,337,326,418
Octadecabacter,283,237,334
Oceanicola,252,242,315
Actibacterium,247,222,301
Thalassococcus,203,180,218
Antarctobacter,194,152,225
Tropicibacter,182,215,237
Seohaeicola,166,217,271
Shimia,155,165,223
Loktanella,153,192,187
Marivita,139,128,215
Falsihalocynthiibacter,102,107,116
Aliisedimentitalea,92,103,110
Thalassobacter,84,88,114
Algirhabdus,63,29,49
Lentibacter,62,61,79
Nereida,28,30,52
Wenxinia,9,9,12
Rhodobacter,1410,1495,1821
Azospirillum,14247,15149,19038
Skermanella,4351,4389,5062
Nitrospirillum,918,976,1163
Indioceanicola,556,637,858
Niveispirillum,334,413,471
Magnetospirillum,1602,1662,2144
Rhodospirillum,1309,1491,1757
Algihabitans,975,966,1050
Ferrovibrio,830,895,1281
Defluviicoccus,789,764,886
Aerophototrophica,659,617,715
Pararhodospirillum,368,380,445
Candidatus Endolissoclinum,11,7,19
Hypericibacter,4816,6678,7651
Thalassobaculum,2408,2443,3013
Nisaea,1717,1717,2155
Stella,2671,2666,3143
Thalassospira,893,891,1093
Magnetospira,237,238,310
Caenispirillum,923,942,1127
Haematospirillum,62,76,79
Paramagnetospirillum,486,507,575
Varunaivibrio,240,218,284
Aestuariispira,194,190,230
Terasakiella,74,69,74
Roseomonas,7972,8182,10497
Sediminicoccus,1701,1669,2217
Roseococcus,700,748,910
Lichenicola,2102,2023,2580
Komagataeibacter,1257,1161,1350
Rhodovastum,1179,1400,1624
Pararoseomonas,903,902,1191
Acetobacter,628,692,825
Acidibrevibacterium,616,599,721
Gluconobacter,482,467,556
Nguyenibacter,449,510,610
Gluconacetobacter,312,331,466
Granulibacter,246,311,323
Asaia,138,184,225
Neoasaia,131,146,186
Novacetimonas,131,129,157
Kozakia,114,139,164
Oecophyllibacter,85,82,85
Parasaccharibacter,57,41,57
Candidatus Kirkpatrickella,56,61,55
Formicincola,42,41,76
Neokomagataea,30,23,35
Entomobacter,11,12,20
Swingsia,6,11,7
Aristophania,6,11,10
Commensalibacter,2,3,9
Acidiphilium,981,1036,1264
Acidisoma,483,441,570
Acidocella,401,393,476
Elioraea,1151,1082,1391
Brevundimonas,8305,9114,11425
Caulobacter,7994,8505,12440
Phenylobacterium,4040,4130,5769
Asticcacaulis,989,963,1301
Terricaulis,484,576,889
Tistrella,3611,3734,4420
Marinicauda,610,638,772
Maricaulis,589,499,744
Hyphobacterium,432,441,609
Glycocaulis,388,343,480
Oceanicaulis,293,319,432
Algimonas,139,151,183
Fretibacter,49,26,37
Litorimonas,42,26,51
Minwuia,1739,1760,2234
Hyphomonas,1091,1077,1346
Candidatus Viadribacter,264,352,474
Hirschia,20,29,19
Parvularcula,309,331,358
Aquisalinus,248,222,347
Hyphococcus,179,194,248
Gimibacter,241,229,316
Temperatibacter,12,9,25
Kordiimonas,157,133,179
Emcibacter,129,142,158
Luteithermobacter,96,77,102
Paremcibacter,80,75,95
Pseudemcibacter,8,15,14
Rickettsia,67,63,90
Candidatus Tisiphia,34,34,41
Orientia,14,11,11
Candidatus Trichorickettsia,8,2,4
Candidatus Sneabacter,NA,1,1
Candidatus Megaera,11,4,10
Candidatus Phycorickettsia,1,2,4
Wolbachia,50,54,74
Anaplasma,48,43,39
Candidatus Mesenet,11,15,15
Neorickettsia,7,9,15
Candidatus Neoehrlichia,6,3,1
Ehrlichia,5,7,21
Candidatus Bandiella,6,5,9
Candidatus Lariskella,5,2,9
Candidatus Midichloria,3,4,2
Candidatus Fokinia,1,4,4
Candidatus Deianiraea,1,4,6
Sneathiella,89,62,114
Candidatus Bealeia,33,21,24
Candidatus Hydrogenosomobacter,9,6,4
Candidatus Cytomitobacter,8,11,8
Candidatus Nesciobacter,1,NA,2
Candidatus Gromoviella,1,NA,6
Candidatus Odyssella,18,31,15
Candidatus Bodocaedibacter,3,20,6
Candidatus Paracaedibacter,1,3,NA
Candidatus Nucleicultrix,3,9,7
Candidatus Pelagibacter,56,45,25
Candidatus Fonsibacter,2,5,4
Candidatus Puniceispirillum,38,22,35
Burkholderia,29842,29865,39218
Cupriavidus,22404,20842,28335
Paraburkholderia,19078,18975,24579
Caballeronia,5054,4789,6524
Ralstonia,4936,4927,6340
Pandoraea,4396,4318,5587
Trinickia,1211,1169,1611
Polynucleobacter,607,615,766
Mycetohabitans,568,581,720
Pararobbsia,481,420,608
Robbsia,465,516,655
Lautropia,323,328,379
Limnobacter,108,140,159
Mycoavidus,91,89,104
Candidatus Vallotia,40,30,40
Ephemeroptericola,30,28,25
Variovorax,26505,26315,36580
Hydrogenophaga,6517,6652,9226
Comamonas,4554,4690,6497
Acidovorax,4181,4148,5815
Ramlibacter,3531,3926,5598
Rhodoferax,3193,3118,4368
Diaphorobacter,1870,2003,2660
Delftia,1861,1969,2628
Polaromonas,1754,1693,2171
Paracidovorax,1219,1233,1681
Ottowia,1161,1224,1726
Alicycliphilus,1019,1084,1400
Serpentinimonas,617,620,658
Limnohabitans,562,573,735
Melaminivora,540,622,809
Verminephrobacter,435,433,664
Paenacidovorax,402,370,576
Pulveribacter,321,262,388
Hylemonella,312,340,450
Oryzisolibacter,278,345,455
Vandammella,263,313,378
Simplicispira,222,235,320
Candidatus Symbiobacter,152,126,142
Brachymonas,119,109,184
Curvibacter,85,80,112
Massilia,9595,9790,12925
Pseudoduganella,5047,5309,6985
Duganella,1171,1144,1622
Telluria,1005,1000,1421
Rugamonas,758,734,1048
Herbaspirillum,3355,3424,4490
Janthinobacterium,2861,2952,3770
Collimonas,1063,1058,1385
Noviherbaspirillum,864,882,1264
Undibacterium,249,233,320
Actimicrobium,221,219,295
Oxalobacter,160,149,159
Herminiimonas,56,59,60
Glaciimonas,55,76,59
Achromobacter,9922,10022,13198
Bordetella,8340,7918,10354
Pigmentiphaga,2663,2572,3545
Castellaniella,1158,1172,1547
Alcaligenes,797,815,970
Orrella,628,675,790
Pollutimonas,434,442,610
Advenella,208,208,231
Kerstersia,193,194,265
Paralcaligenes,182,196,234
Pusillimonas,133,121,165
Neopusillimonas,117,90,147
Oligella,25,19,29
Taylorella,13,8,17
Basilea,8,4,9
Paenalcaligenes,7,7,6
Pelistega,3,7,7
Piscinibacter,6348,6385,9692
Roseateles,5596,5808,9739
Caldimonas,2940,2917,4131
Rubrivivax,1994,2007,2971
Sphaerotilus,1603,1606,2242
Methylibium,1396,1304,2106
Aquincola,1034,1026,1555
Leptothrix,904,989,1434
Ideonella,392,493,679
Inhella,272,304,416
Azohydromonas,23,29,41
Aquabacterium,1883,1944,2823
Rhizobacter,1417,1331,2122
Thiomonas,1266,1247,1554
Xylophilus,1217,1325,1870
Eleftheria,854,871,1148
Tepidimonas,538,531,698
Piscinibacterium,465,422,571
Candidatus Ichthyocystis,7,15,8
Sutterella,508,493,615
Duodenibacillus,98,117,118
Turicimonas,13,13,21
Thauera,6195,6074,7795
Azoarcus,4039,3751,4832
Nitrogeniibacter,1104,1048,1349
Parazoarcus,664,592,819
Pseudazoarcus,647,600,779
Pseudothauera,242,254,257
Denitromonas,5,4,1
Aromatoleum,3309,3099,3924
Azospira,2323,2058,2629
Niveibacterium,1818,1637,2259
Oryzomicrobium,432,445,521
Dechloromonas,1503,1386,1851
Ferribacterium,739,762,842
Azonexus,650,563,714
Quatrionicoccus,297,260,363
Fluviibacter,60,53,82
Usitatibacter,4979,5128,9391
Sulfuricystis,1002,984,1218
Denitratisoma,892,782,1016
Sulfuritalea,624,655,834
Methyloversatilis,585,542,718
Sterolibacterium,398,358,486
Rugosibacter,96,94,111
Thiobacillus,2089,1968,2631
Sulfuritortus,671,615,758
Sideroxydans,412,371,509
Ferrigenium,404,336,487
Sideroxyarcus,235,224,309
Gallionella,105,93,118
Candidatus Nitrotoga,103,100,100
Ferriphaselus,90,95,137
Sulfuriferula,649,551,738
Sulfurimicrobium,388,363,490
Sulfuricella,266,220,288
Nitrosospira,664,561,697
Nitrosomonas,409,372,580
Methylovorus,125,102,134
Methylophilus,122,121,131
Methylobacillus,119,84,147
Methylotenera,36,23,32
