name,G1.cladeReads,G2.cladeReads,G3.cladeReads
Acidithiobacillaceae,977,900,1038
Thermithiobacillaceae,545,532,607
Hydrogenophilaceae,288,301,308
Mariprofundaceae,109,130,109
Magnetococcaceae,66,56,48
Archangiaceae,19863,20489,23733
Myxococcaceae,17215,18669,25636
Anaeromyxobacteraceae,14637,13226,16342
Vulgatibacteraceae,1741,1543,1826
Pendulisporaceae,4940,4720,5957
Polyangiaceae,22815,18205,25845
Sandaracinaceae,5824,5512,7626
Labilitrichaceae,2277,2081,2824
Nannocystaceae,3978,4337,6319
Kofleriaceae,2636,2480,3424
Gemmataceae,18054,18750,24942
Pirellulaceae,7909,7290,9150
Lacipirellulaceae,5962,5958,7988
Thermoguttaceae,178,181,213
Isosphaeraceae,13742,12660,15221
Planctomycetaceae,13301,12006,14791
Phycisphaeraceae,1626,1559,1960
Tepidisphaeraceae,1484,1369,2172
Anaerohalosphaeraceae,115,111,125
Sedimentisphaeraceae,106,92,108
Candidatus Brocadiaceae,63,50,51
Candidatus Uabimicrobiaceae,39,40,46
Opitutaceae,7325,7121,9739
Cerasicoccaceae,314,276,325
Coraliomargaritaceae,177,138,163
Verrucomicrobiaceae,5546,5100,7643
Akkermansiaceae,683,598,660
Fontisphaeraceae,451,501,555
Methylacidiphilaceae,74,71,66
Kiritimatiellaceae,398,383,416
Tichowtungiaceae,151,150,158
Simkaniaceae,84,68,69
Parachlamydiaceae,45,35,67
Waddliaceae,15,19,21
Candidatus Rhabdochlamydiaceae,4,11,16
Criblamydiaceae,2,NA,2
Chlamydiaceae,61,69,45
Lentisphaeraceae,25,28,39
Vicinamibacteraceae,25969,22980,34438
Acidobacteriaceae,15664,14812,17480
Candidatus Korobacteraceae,1183,1137,1332
Bryobacteraceae,2029,1845,2546
Holophagaceae,5754,4898,5856
Acanthopleuribacteraceae,901,775,969
Thermotomaculaceae,29,48,43
Hymenobacteraceae,6713,6485,7870
Spirosomataceae,1388,1348,1596
Cytophagaceae,1196,1118,1301
Fulvivirgaceae,350,405,640
Cyclobacteriaceae,298,258,387
Flammeovirgaceae,112,155,160
Catalimonadaceae,90,98,95
Roseivirgaceae,85,43,22
Reichenbachiellaceae,64,49,90
Leadbetterellaceae,63,61,89
Persicobacteraceae,61,74,116
Marivirgaceae,55,58,54
Amoebophilaceae,51,34,44
Flectobacillaceae,35,32,34
Bernardetiaceae,27,23,36
Rhodocytophagaceae,25,30,50
Mangrovivirgaceae,23,35,33
Rikenellaceae,2251,2315,2766
Prevotellaceae,731,703,796
Bacteroidaceae,570,653,712
Tannerellaceae,496,445,486
Muribaculaceae,311,267,364
Porphyromonadaceae,209,180,208
Dysgonomonadaceae,169,166,172
Barnesiellaceae,108,115,153
Odoribacteraceae,60,50,66
Paludibacteraceae,11,9,13
Salinivirgaceae,9,9,10
Tenuifilaceae,6,18,11
Prolixibacteraceae,177,179,264
Marinifilaceae,42,46,56
Marinilabiliaceae,25,28,17
Flavobacteriaceae,2831,2797,4026
Weeksellaceae,829,923,1180
Sanyastnellaceae,55,57,41
Blattabacteriaceae,33,30,53
Owenweeksiaceae,28,26,35
Crocinitomicaceae,15,13,18
Parvicellaceae,7,7,10
Ichthyobacteriaceae,3,4,3
Chitinophagaceae,2246,2704,4352
Sphingobacteriaceae,1740,1805,2305
Aurantibacillaceae,7,5,15
Lewinellaceae,256,234,294
Haliscomenobacteraceae,87,71,75
Saprospiraceae,42,39,45
Rubricoccaceae,3431,3554,4258
Rhodothermaceae,3189,2871,3088
Salinibacteraceae,934,859,1021
Chlorobiaceae,1680,1533,1721
Chloroherpetonaceae,66,51,45
Melioribacteraceae,87,49,57
Ignavibacteriaceae,38,46,29
Cyclonatronaceae,79,73,93
Balneolaceae,27,24,36
Gemmatimonadaceae,9252,9379,12663
Candidatus Palauibacteraceae,4536,4287,4636
Gaopeijiaceae,1638,1443,1704
Fidelibacteraceae,57,64,63
Fibrobacteraceae,47,47,61
Candidatus Cloacimonadaceae,4,8,8
Geobacteraceae,9811,8538,9173
Desulfuromonadaceae,2964,2664,3009
Geoalkalibacteraceae,672,618,676
Syntrophotaleaceae,466,388,437
Desulfovibrionaceae,10669,10118,11122
Desulfomicrobiaceae,810,748,866
Desulfohalobiaceae,95,89,114
Desulfosarcinaceae,1426,1308,1291
Desulfococcaceae,415,365,357
Desulfobacteraceae,301,246,255
Desulfosudaceae,276,262,269
Desulfatibacillaceae,202,194,220
Desulfolunaceae,194,166,149
Desulfobulbaceae,983,885,1025
Desulfocapsaceae,452,466,492
Desulfarculaceae,1419,1295,1414
Syntrophobacteraceae,921,828,791
Thermodesulfobacteriaceae,387,337,308
Thermodesulfatatoraceae,21,34,27
Syntrophaceae,324,280,273
Desulfomonilaceae,233,181,170
Desulfobaccaceae,142,147,120
Candidatus Desulfofervidaceae,27,24,26
Nitrospiraceae,7552,5703,4730
Dissulfurispiraceae,183,46,33
Thermodesulfovibrionaceae,131,124,78
Treponemataceae,657,617,673
Spirochaetaceae,648,600,632
Breznakiellaceae,188,139,141
Sphaerochaetaceae,134,108,150
Borreliaceae,87,72,69
Leptospiraceae,1051,1105,1650
Thermospiraceae,25,25,10
Brachyspiraceae,15,11,16
Sphaerobacteraceae,1763,1842,1867
Thermomicrobiaceae,473,504,468
Sulfurimonadaceae,637,572,707
Campylobacteraceae,403,362,399
Hydrogenimonadaceae,324,324,355
Helicobacteraceae,301,313,292
Arcobacteraceae,144,109,144
Sulfurovaceae,126,146,176
Sulfurospirillaceae,80,106,81
Nautiliaceae,38,30,25
Nitratiruptoraceae,37,47,52
Hippeaceae,13,20,26
Pseudobdellovibrionaceae,680,608,834
Bacteriovoracaceae,47,47,53
Halobacteriovoraceae,9,4,9
Silvanigrellaceae,29,17,17
Nitrospinaceae,460,474,483
Aquificaceae,117,113,87
Hydrogenothermaceae,47,41,35
Desulfurobacteriaceae,119,93,64
Chrysiogenaceae,168,175,164
Geovibrionaceae,61,60,51
Flexistipitaceae,45,38,31
Calditerrivibrionaceae,16,9,12
Deferribacteraceae,11,5,17
Mucispirillaceae,8,14,7
Calditrichaceae,122,112,108
Atribacteraceae,22,20,22
Atrimonadaceae,9,4,3
Thermatribacteraceae,3,5,7
Dictyoglomaceae,68,48,62
Caldisericaceae,57,57,39
Endomicrobiaceae,35,25,29
Elusimicrobiaceae,17,20,19
Coprothermobacteraceae,45,80,36
Thermosulfidibacteraceae,30,34,20
Thermodesulfobiaceae,10,6,18
Streptomycetaceae,418973,480095,578887
Carbonactinosporaceae,5,4,9
Microbacteriaceae,108655,117629,159836
Micrococcaceae,31517,35014,41682
Cellulomonadaceae,18774,20647,29923
Intrasporangiaceae,17617,20239,29329
Promicromonosporaceae,9982,11124,14978
Dermabacteraceae,5983,6197,7757
Ornithinimicrobiaceae,5876,6877,8423
Brevibacteriaceae,5875,6444,7735
Bogoriellaceae,4771,5333,6483
Dermacoccaceae,2866,3467,4509
Ruaniaceae,2583,2937,3471
Beutenbergiaceae,1667,1826,2294
Sanguibacteraceae,1503,1686,2114
Demequinaceae,1078,1088,1439
Kytococcaceae,790,781,1084
Dermatophilaceae,582,601,750
Jonesiaceae,33,50,48
Tropherymataceae,6,10,11
Mycobacteriaceae,133346,126885,179666
Nocardiaceae,54450,59743,73213
Corynebacteriaceae,15173,16308,19420
Gordoniaceae,12791,14230,17481
Tsukamurellaceae,2824,3036,3889
Dietziaceae,2787,3298,3821
Segniliparaceae,263,299,334
Hoyosellaceae,242,250,284
Lawsonellaceae,97,94,73
Micromonosporaceae,158193,172636,291250
Nocardioidaceae,68658,94754,191290
Propionibacteriaceae,18302,20676,24853
Kribbellaceae,18201,26657,35475
Actinopolymorphaceae,1353,1651,1962
Pseudonocardiaceae,108481,133495,162027
Streptosporangiaceae,34853,40989,45512
Thermomonosporaceae,19608,24443,27481
Nocardiopsidaceae,8406,10261,11586
Actinomycetaceae,10614,11664,13169
Frankiaceae,10130,12329,13635
Geodermatophilaceae,9650,11427,28244
Jiangellaceae,4424,5573,5986
Bifidobacteriaceae,4228,4451,5079
Nakamurellaceae,3079,3605,4604
Jatrophihabitantaceae,2283,2666,3176
Kineosporiaceae,2123,2551,3211
Catenulisporaceae,1451,1707,1996
Glycomycetaceae,1142,1305,1671
Sporichthyaceae,732,715,900
Actinopolysporaceae,471,626,638
Acidothermaceae,445,497,525
Candidatus Nanopelagicaceae,124,111,121
Conexibacteraceae,18424,26977,40675
Baekduiaceae,15754,23976,37458
Capillimicrobiaceae,8358,12197,17979
Paraconexibacteraceae,8060,11767,17651
Miltoncostaeaceae,15815,14627,14107
Thermoleophilaceae,4433,6050,7406
Iamiaceae,32991,46913,44944
Candidatus Poriferisodalaceae,9936,12042,11866
Candidatus Hopanoidivoransaceae,6994,9481,8146
Ilumatobacteraceae,6503,8244,10128
Acidimicrobiaceae,1059,1217,1084
Candidatus Spongiisociaceae,991,1059,940
Rubrobacteraceae,8523,9377,9782
Eggerthellaceae,3699,3828,4382
Atopobiaceae,2274,2309,2683
Coriobacteriaceae,930,1004,1070
Kribbibacteriaceae,83,72,97
Egibacteraceae,2139,2384,2295
Euzebyaceae,1842,2312,2256
Egicoccaceae,1673,2145,2082
Paenibacillaceae,19301,19667,21394
Bacillaceae,11630,11632,13354
Alicyclobacillaceae,2482,2396,2566
Bacillales Family X. Incertae Sedis,713,748,792
Caryophanaceae,1271,1183,1185
Anoxybacillaceae,1000,1013,1210
Staphylococcaceae,604,563,555
Thermoactinomycetaceae,557,541,711
Listeriaceae,117,110,115
Sporolactobacillaceae,70,79,84
Gemellaceae,16,11,7
Abyssicoccaceae,4,2,6
Lactobacillaceae,1738,1701,1781
Streptococcaceae,605,554,672
Enterococcaceae,292,299,331
Carnobacteriaceae,139,149,184
Aerococcaceae,102,91,110
Oscillospiraceae,3653,3463,3641
Clostridiales Family XVII. Incertae Sedis,2807,2821,2749
Clostridiales Family XVI. Incertae Sedis,36,76,36
Symbiobacteriaceae,2360,2371,2360
Clostridiaceae,921,847,889
Peptococcaceae,446,407,451
Desulfitobacteriaceae,355,334,301
Acutalibacteraceae,352,402,477
Butyricicoccaceae,348,338,392
Heliobacteriaceae,295,265,281
Eubacteriaceae,283,327,335
Aristaeellaceae,205,179,180
Maliibacteriaceae,195,251,279
Desulfallaceae,157,152,138
Syntrophomonadaceae,56,61,57
Desulfotomaculaceae,25,21,20
Thermincolaceae,25,15,18
Proteinivoraceae,21,13,25
Lachnospiraceae,2033,2049,2228
Vallitaleaceae,18,15,22
Anaerotignaceae,16,14,11
Cellulosilyticaceae,6,6,10
Defluviitaleaceae,1,3,5
Thermoanaerobacteraceae,731,731,711
Candidatus Desulforudaceae,319,355,259
Thermoanaerobacterales Family IV. Incertae Sedis,41,26,34
Moorellaceae,697,662,731
Zhaonellaceae,31,30,27
Desulfitibacteraceae,30,24,22
Peptostreptococcaceae,187,194,167
Anaerovoracaceae,108,149,138
Natronincolaceae,20,47,35
Filifactoraceae,13,12,11
Thermotaleaceae,10,9,9
Peptoclostridiaceae,9,17,13
Caminicellaceae,3,8,1
Christensenellaceae,210,161,188
Thermosediminibacteraceae,51,59,52
Tepidanaerobacteraceae,48,65,52
Halanaerobiaceae,23,21,22
Halobacteroidaceae,19,20,25
Halothermotrichaceae,5,7,8
Natranaerofabaceae,29,46,33
Natranaerobiaceae,8,9,13
Koleobacteraceae,14,28,27
Monoglobaceae,9,9,12
Selenomonadaceae,1873,1809,1943
Sporomusaceae,452,415,463
Veillonellaceae,504,502,589
Acidaminococcaceae,196,211,232
Geochordaceae,1825,2016,1951
Limnochordaceae,1157,1050,1020
Peptoniphilaceae,189,192,187
Tissierellaceae,30,38,30
Acidilutibacteraceae,14,8,8
Tepidimicrobiaceae,14,10,12
Sporanaerobacteraceae,11,7,4
Thermohalobacteraceae,5,3,1
Gottschalkiaceae,3,13,27
Erysipelotrichaceae,181,203,253
Coprobacillaceae,26,19,31
Turicibacteraceae,24,18,17
Caldicellulosiruptoraceae,60,67,52
Dethiobacteraceae,30,36,33
Synechococcaceae,5063,5168,5613
Prochlorococcaceae,1224,1261,1365
Merismopediaceae,93,117,89
Nostocaceae,1062,1098,1221
Hapalosiphonaceae,78,71,97
Aphanizomenonaceae,69,66,75
Calotrichaceae,69,90,85
Tolypothrichaceae,61,53,57
Nodulariaceae,58,60,95
Chlorogloeopsidaceae,57,36,46
Scytonemataceae,45,46,47
Rivulariaceae,38,31,13
Gloeobacteraceae,1325,1274,1337
Anthocerotibacteraceae,116,109,106
Leptolyngbyaceae,1200,1215,1370
Trichocoleusaceae,119,119,135
Oscillatoriaceae,373,418,409
Microcoleaceae,85,86,76
Sirenicapillariaceae,51,50,53
Geminocystaceae,170,205,219
Microcystaceae,137,119,156
Aphanothecaceae,61,65,91
Chroococcaceae,27,40,43
Halothecacae,26,24,31
Oculatellaceae,404,380,371
Thermosynechococcaceae,256,266,269
Acaryochloridaceae,113,81,64
Nodosilineaceae,313,350,355
Cymatolegaceae,20,15,20
Chroococcidiopsidaceae,320,287,202
Geitlerinemataceae,259,217,224
Coleofasciculaceae,101,89,98
Pseudanabaenaceae,97,77,77
Hyellaceae,52,75,76
Dermocarpellaceae,11,9,18
Chamaesiphonaceae,46,50,47
Gomontiellaceae,16,16,28
Gloeomargaritaceae,53,35,32
Tepidiformaceae,2321,2243,2330
Roseiflexaceae,1009,847,1098
Chloroflexaceae,441,444,482
Candidatus Thermobaculaceae,197,191,185
Candidatus Chloroheliaceae,62,55,55
Candidatus Promineifilaceae,1480,1355,1528
Thermoflexaceae,738,744,741
Dehalococcoidaceae,618,568,579
Candidatus Lucifugimonadaceae,74,79,70
Caldilineaceae,594,493,632
Anaerolineaceae,383,317,363
Ktedonosporobacteraceae,255,254,238
Phototrophicaceae,104,119,139
Capsulimonadaceae,761,846,948
Fimbriimonadaceae,435,455,484
Chthonomonadaceae,96,110,95
Vulcanimicrobiaceae,1289,1267,1430
Spiroplasmataceae,61,72,71
Entomoplasmataceae,6,11,10
Mycoplasmataceae,53,37,59
Candidatus Hepatoplasmataceae,1,1,3
Acholeplasmataceae,55,87,64
Metamycoplasmataceae,105,104,87
Mycoplasmoidaceae,25,36,41
Hujiaoplasmataceae,7,3,1
Candidatus Izemoplasmataceae,6,7,3
Deinococcaceae,11161,11204,13449
Thermaceae,4551,4651,4525
Trueperaceae,617,664,695
Synergistaceae,802,750,879
Dethiosulfovibrionaceae,585,543,565
Aminithiophilaceae,394,307,368
Aminobacteriaceae,301,309,323
Thermotogaceae,213,233,184
Fervidobacteriaceae,41,36,57
Kosmotogaceae,83,66,53
Petrotogaceae,48,59,46
Mesoaciditogaceae,20,21,22
Bradymonadaceae,1643,1662,1933
Microvenatoraceae,171,190,207
Candidatus Bipolaricaulaceae,410,427,399
Candidatus Saccharimonadaceae,49,31,28
Candidatus Nanosynbacteraceae,47,59,54
Candidatus Absconditicoccaceae,16,9,10
Candidatus Chazhemtobacteraceae,7,10,10
Minisyncoccaceae,6,5,5
Candidatus Babeliaceae,3,7,11
Candidatus Chromulinivoraceae,1,3,2
Fusobacteriaceae,105,88,144
Leptotrichiaceae,38,50,37
Haliovirgaceae,1,6,4
Haloarculaceae,13190,13815,16031
Haloferacaceae,12765,13135,15631
Natrialbaceae,10926,11056,13031
Haladaptataceae,3015,3203,3638
Halobacteriaceae,2776,2888,3520
Halococcaceae,859,813,1019
Natronoarchaeaceae,601,581,700
Halalkalicoccaceae,323,320,387
Methanomicrobiaceae,1183,1168,1233
Methanoregulaceae,192,234,196
Methanocorpusculaceae,40,36,29
Methanospirillaceae,32,35,40
Methanosarcinaceae,560,432,445
Methanocellaceae,302,263,317
Methanotrichaceae,252,229,228
Thermococcaceae,709,708,703
Methanobacteriaceae,141,106,100
Methanopyraceae,65,67,77
Methanococcaceae,20,14,4
Methanocaldococcaceae,16,15,7
Archaeoglobaceae,76,96,88
Candidatus Methanoliparaceae,4,2,NA
Methanonatronarchaeaceae,2,4,8
Methanomethylophilaceae,51,41,43
Methanomassiliicoccaceae,12,13,25
Thermoplasmataceae,15,9,6
Ferroplasmaceae,12,4,4
Cuniculiplasmataceae,3,3,5
Picrophilaceae,NA,2,1
Nitrososphaeraceae,5770,4699,1994
Nitrosopumilaceae,370,218,73
Nitrosotaleaceae,140,61,13
Candidatus Nitrosocaldaceae,67,38,22
Conexivisphaeraceae,93,66,61
Thermoproteaceae,268,221,274
Pyrodictiaceae,99,102,76
Desulfurococcaceae,96,74,89
Sulfolobaceae,136,112,100
Thermofilaceae,54,63,76
Acidilobaceae,48,42,48
Caldisphaeraceae,NA,1,1
Fervidicoccaceae,2,NA,3
Candidatus Korarchaeaceae,5,7,5
Candidatus Micrarchaeaceae,7,3,2
Candidatus Nanohalobiaceae,7,NA,6
Nanobdellaceae,2,NA,NA
Promethearchaeaceae,5,10,7
Hominidae,8243,7609,9784
Vahlkampfiidae,1,NA,1
Autographiviridae,34,35,51
Herelleviridae,33,23,33
Kyanoviridae,29,19,21
Mesyanzhinovviridae,25,20,34
Zierdtviridae,24,21,31
Schitoviridae,18,19,18
Straboviridae,14,16,16
Orlajensenviridae,12,14,14
Casjensviridae,12,19,35
Stanwilliamsviridae,9,5,18
Hafunaviridae,8,8,5
Druskaviridae,1,2,3
Halomagnusviridae,NA,1,1
Pootjesviridae,8,5,18
Vilmaviridae,6,14,19
Drexlerviridae,5,6,11
Chaseviridae,4,NA,NA
Steigviridae,2,3,2
Intestiviridae,1,NA,1
Suoliviridae,1,1,2
Ackermannviridae,3,11,6
Peduoviridae,3,8,10
Grimontviridae,3,1,NA
Demerecviridae,2,4,3
Suolaviridae,2,NA,2
Haloferuviridae,1,NA,NA
Pyrstoviridae,NA,1,NA
Shortaselviridae,NA,NA,1
Graaviviridae,NA,8,5
Rountreeviridae,1,NA,NA
Zobellviridae,1,1,NA
Naomviridae,1,1,1
Pervagoviridae,1,2,1
Saparoviridae,1,5,3
Ahpuchviridae,1,NA,NA
Ekchuahviridae,NA,2,NA
Vertoviridae,1,6,8
Arenbergviridae,1,NA,NA
Verdandiviridae,1,NA,1
Anaerodiviridae,NA,NA,1
Kleczkowskaviridae,NA,1,NA
Aliceevansviridae,NA,NA,1
Guelinviridae,NA,NA,2
Salasmaviridae,NA,1,NA
Orthoherpesviridae,178,187,193
Alloherpesviridae,8,11,7
Malacoherpesviridae,1,1,1
Phycodnaviridae,32,17,17
Mimiviridae,12,11,15
Schizomimiviridae,3,1,2
Allomimiviridae,1,2,3
Iridoviridae,4,4,4
Marseilleviridae,3,1,6
Ascoviridae,NA,4,2
Poxviridae,44,51,55
Asfarviridae,1,2,1
Adenoviridae,12,18,17
Tectiviridae,1,NA,NA
Yaraviridae,1,NA,NA
Fiersviridae,4,1,2
Atkinsviridae,3,NA,NA
Duinviridae,NA,1,NA
Steitzviridae,6,NA,NA
Botourmiaviridae,3,1,NA
Caliciviridae,2,NA,2
Picornaviridae,2,7,10
Secoviridae,2,1,1
Dicistroviridae,NA,2,NA
Coronaviridae,2,3,3
Medioniviridae,1,NA,NA
Roniviridae,NA,NA,1
Tobaniviridae,NA,1,NA
Potyviridae,2,2,1
Astroviridae,2,NA,1
Fusariviridae,1,2,NA
Hypoviridae,NA,NA,1
Amalgaviridae,NA,NA,1
Flaviviridae,5,3,3
Matonaviridae,2,2,4
Hepeviridae,NA,1,NA
Endornaviridae,1,2,1
Togaviridae,NA,NA,1
Bromoviridae,NA,1,NA
